instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://www.w3.org/ns/hydra/core#ApiDocumentation	http://www.w3.org/ns/hydra/core#Class	-	-	http://www.w3.org/ns/hydra/core	http://www.w3.org/ns/hydra/core#	http://www.w3.org/ns/hydra/core#	true	false	true
http://www.w3.org/ns/hydra/core#BasicRepresentation	http://www.w3.org/ns/hydra/core#Class	-	-	http://www.w3.org/ns/hydra/core	http://www.w3.org/ns/hydra/core#	http://www.w3.org/ns/hydra/core#	true	false	true
http://www.w3.org/ns/hydra/core#Collection	http://www.w3.org/ns/hydra/core#Class	-	-	http://www.w3.org/ns/hydra/core	http://www.w3.org/ns/hydra/core#	http://www.w3.org/ns/hydra/core#	true	false	true
http://www.w3.org/ns/hydra/core#CreateResourceOperation	http://www.w3.org/ns/hydra/core#Class	-	-	http://www.w3.org/ns/hydra/core	http://www.w3.org/ns/hydra/core#	http://www.w3.org/ns/hydra/core#	true	false	true
http://www.w3.org/ns/hydra/core#DeleteResourceOperation	http://www.w3.org/ns/hydra/core#Class	-	-	http://www.w3.org/ns/hydra/core	http://www.w3.org/ns/hydra/core#	http://www.w3.org/ns/hydra/core#	true	false	true
http://www.w3.org/ns/hydra/core#Error	http://www.w3.org/ns/hydra/core#Class	-	-	http://www.w3.org/ns/hydra/core	http://www.w3.org/ns/hydra/core#	http://www.w3.org/ns/hydra/core#	true	false	true
http://www.w3.org/ns/hydra/core#ExplicitRepresentation	http://www.w3.org/ns/hydra/core#Class	-	-	http://www.w3.org/ns/hydra/core	http://www.w3.org/ns/hydra/core#	http://www.w3.org/ns/hydra/core#	true	false	true
http://www.w3.org/ns/hydra/core#IriTemplate	http://www.w3.org/ns/hydra/core#Class	-	-	http://www.w3.org/ns/hydra/core	http://www.w3.org/ns/hydra/core#	http://www.w3.org/ns/hydra/core#	true	false	true
http://www.w3.org/ns/hydra/core#IriTemplateMapping	http://www.w3.org/ns/hydra/core#Class	-	-	http://www.w3.org/ns/hydra/core	http://www.w3.org/ns/hydra/core#	http://www.w3.org/ns/hydra/core#	true	false	true
http://www.w3.org/ns/hydra/core#Link	http://www.w3.org/ns/hydra/core#Class	-	-	http://www.w3.org/ns/hydra/core	http://www.w3.org/ns/hydra/core#	http://www.w3.org/ns/hydra/core#	true	false	true
http://www.w3.org/ns/hydra/core#Operation	http://www.w3.org/ns/hydra/core#Class	-	-	http://www.w3.org/ns/hydra/core	http://www.w3.org/ns/hydra/core#	http://www.w3.org/ns/hydra/core#	true	false	true
http://www.w3.org/ns/hydra/core#PagedCollection	http://www.w3.org/ns/hydra/core#Class	-	-	http://www.w3.org/ns/hydra/core	http://www.w3.org/ns/hydra/core#	http://www.w3.org/ns/hydra/core#	true	false	true
http://www.w3.org/ns/hydra/core#ReplaceResourceOperation	http://www.w3.org/ns/hydra/core#Class	-	-	http://www.w3.org/ns/hydra/core	http://www.w3.org/ns/hydra/core#	http://www.w3.org/ns/hydra/core#	true	false	true
http://www.w3.org/ns/hydra/core#Resource	http://www.w3.org/ns/hydra/core#Class	-	-	http://www.w3.org/ns/hydra/core	http://www.w3.org/ns/hydra/core#	http://www.w3.org/ns/hydra/core#	true	false	true
http://www.w3.org/ns/hydra/core#Status	http://www.w3.org/ns/hydra/core#Class	-	-	http://www.w3.org/ns/hydra/core	http://www.w3.org/ns/hydra/core#	http://www.w3.org/ns/hydra/core#	true	false	true
http://www.w3.org/ns/hydra/core#SupportedProperty	http://www.w3.org/ns/hydra/core#Class	-	-	http://www.w3.org/ns/hydra/core	http://www.w3.org/ns/hydra/core#	http://www.w3.org/ns/hydra/core#	true	false	true
http://www.w3.org/ns/hydra/core#TemplatedLink	http://www.w3.org/ns/hydra/core#Class	-	-	http://www.w3.org/ns/hydra/core	http://www.w3.org/ns/hydra/core#	http://www.w3.org/ns/hydra/core#	true	false	true
